URL,Type,Subtype,Notes,,
https://github.com/QZKZ3/ht_project,Experiment,,,,
https://github.com/cafe-com-analytics/stock_market_index_daily_direction,Experiment,,,,
https://github.com/JuanSolano9/SRGAN,Experiment,,,,
https://github.com/machinecurve/extra_keras_datasets,Dataset collection,,,,Count
https://github.com/DCASE-REPO/dcase2018_baseline,Experiment,,,Experiment,55
https://github.com/maudgrol/deepdiva,Experiment,,,System,11
https://github.com/sassoftware/python-sasctl,"Python package, toolkit",,,,
https://github.com/zhaofeng-shu33/info-detection-experiment,Experiment,,,,
https://github.com/BloomTech-Labs/PT15-cityspire-c-ds,system,,,,
https://github.com/MABDashbot/MAB_Dashbot,Experiment,,,,
https://github.com/oliver-glardon/UPM-Applied-Artificial-Intelligence,"Education, Course, Experiment",,,,
https://github.com/quadrefiore/stock-prediction,Experiment,,,,
https://github.com/dizwe/BabyCry_Siren_classify,Experiment project template,,,,
https://github.com/stefanDeveloper/covid-19-neural-network,"Experiment, School project, Education",,,,
https://github.com/knaidoo29/mistree,"Library, Package",,,,
https://github.com/mwalmsley/zoobot,Experiment,,,,
https://github.com/juaml/julearn,Library,,,,
https://github.com/yang-junhwan/clone,System,,,,
https://github.com/AleksCipri/DeepMergeDomainAdaptation,Experiment,,,,
https://github.com/mwalmsley/gz-panoptes-reduction,Toolkit for data,,,,
https://github.com/MaximilianV/fb_reactions_crawler,Experiment,,,,
https://github.com/10acad-group3/speech_recognition,Experiment,,,,
https://github.com/andrewre23/PyAlgoGem,Unknown,,,,
https://github.com/alibaba/EasyRec,"ML framework, library",,,,
https://github.com/BioGeek/spolm,Missing link,,,,
https://github.com/bostankhan6/Object-Detection-YoloV3-RetinaNet-FasterRCNN,Experiment,,,,
https://github.com/sideraverso/DataCleaning,"Tutorial, courses, Experiment",,,,
https://github.com/smsegal/mask_rcnn,Experiment,,,,
https://github.com/marchcarax/Portfolio-stats,Experiment,,,,
https://github.com/MatanDavidian/DoHlyzer_fixed,System,,,,
https://github.com/gle-bellier/internship-expressive-DDSP,Experiment,,,,
https://github.com/akshayrana30/Low-Resources-Machine-Translation,"Course project, Experiment",,,,
https://github.com/sanjeev309/posebox,Experiment,,,,
https://github.com/GarrettMerz/Projects,Experiment,,,,
https://github.com/rianrajagede/iris-python,Education,,,,
https://github.com/TheGithubMafia/TheGithubMafia_e0515b2d-4247-4c89-ab1a-a6d8f12ce62c,System,,,,
https://github.com/statbiophys/soNNia,"Experiment, publication",,,,
https://github.com/DIMPLY/DeepReinforcementLearning-UCCAParser,"Education, Assignment, Course project",,,,
https://github.com/beenflew/spiking-yolo,Tutorial,,,,
https://github.com/ahmadbelal7861/Skin,experiment,,,,
https://github.com/allenai/allenact,"framework, Library",,,,
https://github.com/Hazoom/bert-han,"Publication, Experiment",,,,
https://github.com/andrewtavis/causeinfer,Python library/package,,,,
https://github.com/myelinio/myelin-examples,Example/Tutorial ,,,,
https://github.com/markrobertvandam/PatternRecog2,Experiment,,,,
https://github.com/roronya/causalmodels,Experiment,,,,
https://github.com/LangArthur/emotions-detection,System,,,,
https://github.com/LorenzoValente3/Deep-Learning-Models,"Education, publication, Experiment",,,,
https://github.com/randian666/py3-analysis,"Tutorial, Experiment",,,,
https://github.com/douglasdavis/twaml,Toolkit,,,,
https://github.com/ML4ITS/mtad-gat-pytorch,Experiment,,,,
https://github.com/LCYRify/Skipass,"Assignment, Experiment",,,,
https://github.com/websovet/ds,Interview questions,,,,
https://github.com/brechmos/elodin-nn,Experiment,,,,
https://github.com/yelircaasi/citation-analysis,Experiment,,,,
https://github.com/mahlettaye/Sales_prediction,Experiment,,,,
https://github.com/shashanknainwal/Udacity-ML-nanodegree_,"Education, Assignment",,,,
https://github.com/piyu-sh/booktrivia,system,,,,
https://github.com/srgari/aulas_light_aplicadas,"Education, tutorial",,,,
https://github.com/timurlenk07/sim2real_lane_segment,Experiment,,,,
https://github.com/monarch-initiative/hpo-survey-analysis,Library,,,,
https://github.com/saigkiran/veridic_machine_learning,"Education, course, Experiment",,,,
https://github.com/cairo-robotics/cairo_simulator,System,,,,
https://github.com/Zhengxian-Fan/aaa,"Tutorial, Experiment",,,,
https://github.com/matchms/ms2deepscore,library,,,,
https://github.com/tommartensen/fake-news-detector,Experiment,,,,
https://github.com/stevensallright/similarity_generator,Experiment,,,,
https://github.com/AmazaspShumik/mtlearn,"Education, publication, replication package",,,,
https://github.com/lucieluneau/blindness_detection,Experiment,,,,
https://github.com/jgonsior/WeakAL,"Experiment, publication, replication repo",,,,
https://github.com/agupta01/sigmet,Experiment,,,,
https://github.com/alexlindir/update-faceswap,System,,,,
https://github.com/Rolkarolka/IUM-delivery-optimization,"Education, assignment",,,,
https://github.com/4flixt/2019_WNTR_Surrogate_Model,"Education, Experiment, publication",,,,
https://github.com/zotroneneis/machine_learning_basics,Tutorial collection,,,,
https://github.com/joaopauloschuler/k-neural-api,Library,,,,
https://github.com/Soley02/Aufgabe_2,"Education, Assignment, Experiment ",,,,
https://github.com/KarlVoncq/MIDIComposingAI,System,,,,
https://github.com/bipinkc19/cloth-recommender-from-image,Experiment,,,,
https://github.com/EthanBehar68/P556FinalProject,"Education project, Experiment",,,,
https://github.com/tensorflow/federated,Library,,,,
https://github.com/LuisValgoi/predia,System,,,,
https://github.com/phelantomas/SentimentTrader,system,,,,
https://github.com/broadinstitute/adapt,"Education, Publication",,,,
https://github.com/luangtatipsy/emogest,Experiment,,,,
https://github.com/jmcginn/McGANn,Experiment,,,,
https://github.com/bippisb/bipp-datasets,-,,,,
https://github.com/rasgointelligence/feature-engineering-tutorials,"Tutorial, Experiment",,,,
https://github.com/stevao-andrade/mt_project,"Education, publication",,,,
https://github.com/spwhite1337/sports-bettors,Experiment,,,,
https://github.com/manzar96/movie_corpus_chatbot,Experiment,,,,
https://github.com/Yannick947/person_counting,Experiment,,,,
https://github.com/ahmetozlu/tensorflow_object_counting_api,"Framework, Library",,,,
https://github.com/LEE-SEON-WOO/DL-Tutorials-Py_or_Tf,Tutorial,,,,
https://github.com/twilightdema/NLP_LIB,library,,,,
https://github.com/AI-Druids/NeuroSorter,Toolkit,,,,
https://github.com/Quer-io/Quer.io,Education project,,,,
https://github.com/Xivid/cil-text-classification-2018,"Education project, experiment",,,,
https://github.com/sfxsalem/Co-Tour,Education Assigment,,,,
https://github.com/BloomTech-Labs/allay-ds,Experiment,,,,